Beach Name,County,BeachLength (Mi),Ownership Type,Accessibility Type,Special Note,Link Notes
Sunrise,PLYMOUTH,0.67,,,,
Swift's,PLYMOUTH,0.127,Municipal,1,parking,
Swift's Neck,PLYMOUTH,0.192,Municipal,1,parking,
Tabor Academy,PLYMOUTH,0.029,Other,2,,
West End,PLYMOUTH,0.073,Municipal,2,permit,
White Horse - Full Sail,PLYMOUTH,0.41,Municipal,1,parking,
White Horse - Hill Top,PLYMOUTH,0.63,Municipal,1,parking,
XYZ,PLYMOUTH,0.778,State,1,parking,
Carson Beach (DCR),SUFFOLK,0.929,State,0,,
City Point Beach @ WWII Memorial (DCR),SUFFOLK,0.207,State,0,,
Constitution (DCR),SUFFOLK,0.436,State,0,,
Donovans,SUFFOLK,0.055,Municipal,0,,
Grandview,SUFFOLK,0.135,Municipal,0,,
Halford,SUFFOLK,0.024,Municipal,0,,
Lovell's Island (DCR),SUFFOLK,0.325,State,0,,
M Street Beach (DCR),SUFFOLK,0.169,State,0,,
Malibu (DCR),SUFFOLK,0.297,State,0,,
Pico,SUFFOLK,0.043,Municipal,0,,
Pleasure Bay (DCR),SUFFOLK,0.313,Federal,0,,
Revere (DCR),SUFFOLK,2.84,State,1,parking ,
Savin Hill (DCR),SUFFOLK,0.163,State,0,,
Short (DCR),SUFFOLK,0.268,State,0,,
Spectacle Island (DCR),SUFFOLK,0.127,State,0,,
Tenean (DCR),SUFFOLK,0.144,State,0,,
Winthrop (DCR),SUFFOLK,1.04,State,0,,
Yerrill,SUFFOLK,0.842,Municipal,0,,
